,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
American,12.99,13.03,13.27,13.68,13.31,14.54,13.49,11.82,11.89,11.28,11.72,12.52,12.63,13.3,11.94,13.02,13.78,14.55,14.9,15.62,14.92,14.6
Continental,12.51,13.43,13.39,13.19,13.12,14.38,13.08,11.99,11.86,11.85,11.87,12.44,12.59,13.05,11.19,12.36,14.04,                 -  ,                 -  ,                 -  ,                 -  ,                 -  
Delta,14.33,13.41,13.5,13.63,13.61,14.26,13.04,11.84,11.85,11.25,11.04,12.21,12.58,12.96,11.27,12.59,13.98,14.64,15.66,16.5,16.39,15.63
Northwest,13.98,14.64,14.35,13.56,13.87,14.32,13.4,12.86,13.13,13.2,12.98,13.84,13.8,14.14,11.42,                  -  ,                  -  ,                 -  ,                 -  ,                 -  ,                 -  ,                 -  
United,12.17,13.07,13.23,13.42,13.61,14.59,12.92,11.39,10.91,10.67,11.22,12.18,12.54,13.32,11.18,12.42,13.61,13.33,13.53,14.13,13.83,13.35
US Airways,16.85,17.98,17.82,17.88,17.58,17.33,15.5,14.14,14.33,13.38,13.27,23.69,20.11,13.32,11.68,12.96,14.05,14.41,14.62,15.44,                 -  ,                 -  
America West,10.83,10.62,10.83,11.32,11.38,11.37,10.07,9.57,9.8,9.3,10.27,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                 -  ,                 -  ,                 -  ,                 -  ,                 -  
 --sub Network,13.49,13.77,13.82,13.88,13.81,14.58,13.26,11.97,11.91,11.48,11.69,12.59,12.81,13.31,11.48,12.69,13.89,14.19,14.68,15.44,15.08,14.58
Southwest,11.61,12.01,12.76,12.85,12.33,12.78,11.86,11.51,11.68,11.43,11.75,12.61,12.66,13.88,12.82,14.23,14.99,15.1,16.15,16.48,15.72,15.06
jetBlue,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,10.2,9.47,9.02,8.38,7.85,8.06,9.53,10.23,12.12,11.62,11.85,12.92,13.34,13.53,14.05,14.21,13.32
AirTran,                  -  ,                  -  ,10.9,12.98,13.56,14.56,14.18,12.59,12.39,11.82,12.33,13.12,12.71,12.75,11.3,12.37,13.37,                 -  ,                 -  ,                 -  ,                 -  ,                 -  
Frontier,15.44,13.43,12.7,14.17,14.64,16.68,15.81,14.5,12.23,11.17,11.43,11.53,11.29,12.32,10.82,12.17,14.46,11.85,12.46,12.32,9.64,7.05
Virgin America,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,2.1,9.95,8.92,10.56,11.89,12.42,13.14,13.01,12.85,11.93
 -- sub LCC,11.64,11.66,12.7,12.91,12.55,13.08,12.1,11.48,11.26,10.78,11.04,11.96,12.02,13.17,12.1,13.25,14.21,14.39,15.22,15.52,14.82,13.87
Alaska,11.16,11.35,12.27,12.32,12.72,13.46,13.09,12.62,12.59,12.24,12.73,13.53,13.86,14.03,12.91,13.05,13.47,13.57,13.52,13.75,13.13,12.27
Hawaiian,8.13,8.34,7.83,8.3,8.22,8.68,7.98,10.3,10.59,11.2,11,11.25,10.8,13.99,12.93,13.46,14.71,14.44,14.92,15.66,15.2,15.23
Spirit,8.85,9.15,7.8,9.82,9.44,9.72,9.75,9.26,9.55,9.58,10.59,11.27,9.38,9.5,8.96,8.31,9.06,8.6,8.72,8.64,7.07,6.14
Allegiant,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  ,5.16,7.06,7.98,8.31,8.63,7.91,8.44,9.5,9.72,9.96,10.19,9.16,8.32
 -- sub Other,10.19,10.43,10.78,11.09,11.12,11.55,11.05,11.35,11.29,11.27,11.72,12.26,11.85,12.67,11.64,11.77,12.43,12.29,12.27,12.42,11.36,10.46
Total All Sectors,13.25,13.49,13.63,13.69,13.58,14.29,13.01,11.87,11.77,11.35,11.56,12.43,12.56,13.23,11.66,12.77,13.86,14.07,14.6,15.15,14.58,13.86
